2026-08-14 18:51:19,917 [INFO] logger.py:11 - ====== WebDriver manager ======
2026-08-14 18:51:20,766 [INFO] logger.py:11 - Driver [C:\Users\KJY\.wdm\drivers\chromedriver\win64\151.0.7922.138\chromedriver-win64/chromedriver.exe] found in cache by browser version
2026-08-14 18:52:16,369 [ERROR] auto_blog.py:335 - cannot access local variable 'info_dict' where it is not associated with a value
Traceback (most recent call last):
  File "C:\Users\KJY\Documents\Programming\AutoBlog\auto_blog.py", line 333, in <module>
    read_xlsx(data_folder_src)
    ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\KJY\Documents\Programming\AutoBlog\auto_blog.py", line 292, in read_xlsx
    content_str += get_content_str(content_type, data_list) + "\n\n"
                   ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\KJY\Documents\Programming\AutoBlog\auto_blog.py", line 119, in get_content_str
    answer = info_dict[Xlsx_key.ANSWER.value]
             ^^^^^^^^^
UnboundLocalError: cannot access local variable 'info_dict' where it is not associated with a value
2026-08-14 19:00:44,848 [INFO] auto_blog.py:292 - '헷갈리는 어휘'의 데이터로 블로그 내용을 작성 중입니다.
2026-08-14 19:00:44,848 [INFO] auto_blog.py:86 - 블로그 작성중...(단어: 코로나에 걸려 밤새 아팠는데 (이튿날 / 이튿날) 되니까 회복되었다.)
2026-08-14 19:00:44,848 [INFO] auto_blog.py:86 - 블로그 작성중...(단어: (연두빛 / 연둣빛) 새순이 돋는 걸 보고 봄이 온지 알았다.)
2026-08-14 19:00:44,848 [INFO] auto_blog.py:86 - 블로그 작성중...(단어: 마름들은 (사래논 / 사래답)을 점점 넓혀가며 제 주머니만 불렸다.)
2026-08-14 19:01:01,331 [INFO] auto_blog.py:305 - 만든 블로그 내용을 저장하지 않고 종료합니다.
2026-08-14 19:05:54,739 [INFO] logger.py:11 - ====== WebDriver manager ======
2026-08-14 19:05:55,357 [INFO] logger.py:11 - Driver [C:\Users\KJY\.wdm\drivers\chromedriver\win64\151.0.7922.138\chromedriver-win64/chromedriver.exe] found in cache by browser version
2026-08-14 19:05:57,109 [INFO] auto_blog.py:288 - 엑셀 파일을 읽기 완료
2026-08-14 19:05:57,115 [INFO] auto_blog.py:293 - '속담'의 데이터로 블로그 내용을 작성 중입니다.
2026-08-14 19:05:57,115 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 강태공이 세월 낚듯 한다.)
2026-08-14 19:05:57,115 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 꽃은 목화가 제일이다.)
2026-08-14 19:05:57,115 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 군작이 어찌 대봉의 뜻을 알랴)
2026-08-14 19:05:57,115 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 감기 고뿔도 남을 안 준다.)
2026-08-14 19:05:57,116 [INFO] auto_blog.py:293 - '어휘'의 데이터로 블로그 내용을 작성 중입니다.
2026-08-14 19:05:57,116 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 침체)
2026-08-14 19:06:04,305 [INFO] auto_blog.py:138 - 크롤링할 단어 선택 중...
2026-08-14 19:06:07,791 [INFO] auto_blog.py:251 - 크롤링 완료....(단어: 침체)
2026-08-14 19:06:07,791 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 침착)
2026-08-14 19:06:14,425 [INFO] auto_blog.py:138 - 크롤링할 단어 선택 중...
2026-08-14 19:06:17,376 [INFO] auto_blog.py:251 - 크롤링 완료....(단어: 침착)
2026-08-14 19:06:17,376 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 부착)
2026-08-14 19:06:24,602 [INFO] auto_blog.py:138 - 크롤링할 단어 선택 중...
2026-08-14 19:06:27,657 [INFO] auto_blog.py:251 - 크롤링 완료....(단어: 부착)
2026-08-14 19:06:27,658 [INFO] auto_blog.py:87 - 블로그 작성중...(단어: 고착)
2026-08-14 19:06:34,382 [INFO] auto_blog.py:138 - 크롤링할 단어 선택 중...
2026-08-14 19:06:37,890 [INFO] auto_blog.py:251 - 크롤링 완료....(단어: 고착)
